ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
ESP.003.901;Objeto 12;Favorável;1;19/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.003.901;Objeto 12;Favorável;2;19/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.003.901;Objeto 12;Favorável;3;19/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.003.906;Objeto 40;Favorável;1;22/11/2012;;Encerrado;Est;SP;3 VARA CÍVEL DE CUBATÃO;0
ESP.003.906;Objeto 40;Favorável;2;22/11/2012;;Encerrado;Est;SP;3 VARA CÍVEL DE CUBATÃO;0
ESP.003.906;Objeto 40;Favorável;3;22/11/2012;;Encerrado;Est;SP;3 VARA CÍVEL DE CUBATÃO;0
ESP.003.909;Objeto 25;Favorável;1;27/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.909;Objeto 25;Favorável;2;27/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.909;Objeto 25;Favorável;3;27/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.910;Objeto 42;Favorável;1;10/09/2015;;Encerrado;Est;SP;4 VARA CÍVEL DE CUBATÃO;0
ESP.003.910;Objeto 42;Favorável;2;10/09/2015;;Encerrado;Est;SP;4 VARA CÍVEL DE CUBATÃO;0
ESP.003.910;Objeto 42;Favorável;3;10/09/2015;;Encerrado;Est;SP;4 VARA CÍVEL DE CUBATÃO;0
ESP.003.919;Objeto 11;Favorável;1;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.919;Objeto 11;Favorável;2;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.919;Objeto 11;Favorável;3;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.920;Objeto 30;Favorável;1;30/11/2012;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.003.920;Objeto 30;Favorável;2;30/11/2012;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.003.920;Objeto 30;Favorável;3;30/11/2012;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.003.921;Objeto 11;Favorável;1;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.921;Objeto 11;Favorável;2;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.921;Objeto 11;Favorável;3;30/11/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.930;Objeto 9;Favorável;1;10/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.930;Objeto 9;Favorável;2;10/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.930;Objeto 9;Favorável;3;10/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.931;Objeto 47;Favorável;1;10/12/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SANTOS;0
ESP.003.931;Objeto 47;Favorável;2;10/12/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SANTOS;0
ESP.003.931;Objeto 47;Favorável;3;10/12/2012;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE SANTOS;0
ESP.003.936;Objeto 11;Favorável;1;11/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.936;Objeto 11;Favorável;2;11/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.936;Objeto 11;Favorável;3;11/12/2012;;Encerrado;Trb;SP;4 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.973;Objeto 10;Favorável;1;06/12/2017;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.003.973;Objeto 10;Favorável;2;06/12/2017;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.003.978;Objeto 12;Favorável;1;14/01/2013;;Encerrado;Trb;SP;1 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.978;Objeto 12;Favorável;2;14/01/2013;;Encerrado;Trb;SP;1 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.978;Objeto 12;Favorável;3;14/01/2013;;Encerrado;Trb;SP;1 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.979;Objeto 9;Favorável;1;14/01/2013;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.979;Objeto 9;Favorável;2;14/01/2013;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.979;Objeto 9;Favorável;3;14/01/2013;;Encerrado;Trb;SP;2 VARA DO TRABALHO DE CUBATÃO;0
ESP.003.980;Objeto 12;Favorável;1;14/01/2013;;Encerrado;Trb;SP;8 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.980;Objeto 12;Favorável;2;14/01/2013;;Encerrado;Trb;SP;8 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.980;Objeto 12;Favorável;3;14/01/2013;;Encerrado;Trb;SP;8 VARA DO TRABALHO DE SÃO PAULO;0
ESP.003.983;Objeto 10;Favorável;1;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
ESP.003.983;Objeto 8;Favorável;1;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
ESP.003.983;Objeto 10;Favorável;2;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
ESP.003.983;Objeto 8;Favorável;2;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
ESP.003.983;Objeto 10;Favorável;3;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
ESP.003.983;Objeto 8;Favorável;3;15/01/2013;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO SEBASTIÃO;0
